Bulan,Tingkat Inflasi
01-2006,17.03
02-2006,17.92
03-2006,15.74
04-2006,15.4
05-2006,15.6
06-2006,15.53
07-2006,15.15
08-2006,14.9
09-2006,14.55
10-2006,6.29
11-2006,5.27
12-2006,6.6
01-2007,6.26
02-2007,6.3
03-2007,6.52
04-2007,6.29
05-2007,6.01
06-2007,5.77
07-2007,6.06
08-2007,6.51
09-2007,6.95
10-2007,6.88
11-2007,6.71
12-2007,6.59
01-2008,7.36
02-2008,7.4
03-2008,8.17
04-2008,8.96
05-2008,10.38
06-2008,11.03
07-2008,11.9
08-2008,11.85
09-2008,12.14
10-2008,11.77
11-2008,11.68
12-2008,11.06
01-2009,9.17
02-2009,8.6
03-2009,7.92
04-2009,7.31
05-2009,6.04
06-2009,3.65
07-2009,2.71
08-2009,2.75
09-2009,2.83
10-2009,2.57
11-2009,2.41
12-2009,2.78
01-2010,3.72
02-2010,3.81
03-2010,3.43
04-2010,3.91
05-2010,4.16
06-2010,5.05
07-2010,6.22
08-2010,6.44
09-2010,5.8
10-2010,5.67
11-2010,6.33
12-2010,6.96
01-2011,7.02
02-2011,6.84
03-2011,6.65
04-2011,6.16
05-2011,5.98
06-2011,5.54
07-2011,4.61
08-2011,4.79
09-2011,4.61
10-2011,4.42
11-2011,4.15
12-2011,3.79
01-2012,3.65
02-2012,3.56
03-2012,3.97
04-2012,4.5
05-2012,4.45
06-2012,4.53
07-2012,4.56
08-2012,4.58
09-2012,4.31
10-2012,4.61
11-2012,4.32
12-2012,4.3
01-2013,4.57
02-2013,5.31
03-2013,5.9
04-2013,5.57
05-2013,5.47
06-2013,5.9
07-2013,8.61
08-2013,8.79
09-2013,8.4
10-2013,8.32
11-2013,8.37
12-2013,8.38
01-2014,8.22
02-2014,7.75
03-2014,7.32
04-2014,7.25
05-2014,7.32
06-2014,6.7
07-2014,4.53
08-2014,3.99
09-2014,4.53
10-2014,4.83
11-2014,6.23
12-2014,8.36
01-2015,6.96
02-2015,6.29
03-2015,6.38
04-2015,6.79
05-2015,7.15
06-2015,7.26
07-2015,7.26
08-2015,7.18
09-2015,6.83
10-2015,6.25
11-2015,4.89
12-2015,3.35
01-2016,4.14
02-2016,4.42
03-2016,4.45
04-2016,3.6
05-2016,3.33
06-2016,3.45
07-2016,3.21
08-2016,2.79
09-2016,3.07
10-2016,3.31
11-2016,3.58
12-2016,3.02
01-2017,3.49
02-2017,3.83
03-2017,3.61
04-2017,4.17
05-2017,4.33
06-2017,4.37
07-2017,3.88
08-2017,3.82
09-2017,3.72
10-2017,3.58
11-2017,3.3
12-2017,3.61
01-2018,3.25
02-2018,3.18
03-2018,3.4
04-2018,3.41
05-2018,3.23
06-2018,3.12
07-2018,3.18
08-2018,3.2
09-2018,2.88
10-2018,3.16
11-2018,3.23
12-2018,3.13
01-2019,2.82
02-2019,2.57
03-2019,2.48
04-2019,2.83
05-2019,3.32
06-2019,3.28
07-2019,3.32
08-2019,3.49
09-2019,3.39
10-2019,3.13
11-2019,3
12-2019,2.72
01-2020,2.68
02-2020,2.98
03-2020,2.96
04-2020,2.67
05-2020,2.19
06-2020,1.96
07-2020,1.54
08-2020,1.32
09-2020,1.42
10-2020,1.44
11-2020,1.59
12-2020,1.68
01-2021,1.55
02-2021,1.38
03-2021,1.37
04-2021,1.42
05-2021,1.68
06-2021,1.33
07-2021,1.52
08-2021,1.59
09-2021,1.6
10-2021,1.66
11-2021,1.75
12-2021,1.87
01-2022,2.18
02-2022,2.06
03-2022,2.64
04-2022,3.47
05-2022,3.55
06-2022,4.35
07-2022,4.94
08-2022,4.69
09-2022,5.95
10-2022,5.71
11-2022,5.42
12-2022,5.51
01-2023,5.28
02-2023,5.47
03-2023,4.97
04-2023,4.33
05-2023,4
06-2023,3.52
07-2023,3.08
08-2023,3.27
09-2023,2.28
10-2023,2.56
11-2023,2.86
12-2023,2.95
