Bulan,Tingkat Inflasi,Harga Beras,Impor nonMigas
01-2006,17.03,,
02-2006,17.92,,
03-2006,15.74,,
04-2006,15.4,,
05-2006,15.6,,
06-2006,15.53,,
07-2006,15.15,,
08-2006,14.9,,
09-2006,14.55,,
10-2006,6.29,,
11-2006,5.27,,
12-2006,6.6,,
01-2007,6.26,,
02-2007,6.3,,
03-2007,6.52,,
04-2007,6.29,,
05-2007,6.01,,
06-2007,5.77,,
07-2007,6.06,,
08-2007,6.51,,
09-2007,6.95,,
10-2007,6.88,,
11-2007,6.71,,
12-2007,6.59,,
01-2008,7.36,,
02-2008,7.4,,
03-2008,8.17,,
04-2008,8.96,,
05-2008,10.38,,
06-2008,11.03,,
07-2008,11.9,,
08-2008,11.85,,
09-2008,12.14,,
10-2008,11.77,,
11-2008,11.68,,
12-2008,11.06,,
01-2009,9.17,,
02-2009,8.6,,
03-2009,7.92,,
04-2009,7.31,,
05-2009,6.04,,
06-2009,3.65,,
07-2009,2.71,,
08-2009,2.75,,
09-2009,2.83,,
10-2009,2.57,,
11-2009,2.41,,
12-2009,2.78,,
01-2010,3.72,,
02-2010,3.81,,
03-2010,3.43,,
04-2010,3.91,,
05-2010,4.16,,
06-2010,5.05,,
07-2010,6.22,,
08-2010,6.44,,
09-2010,5.8,,
10-2010,5.67,,
11-2010,6.33,,
12-2010,6.96,,
01-2011,7.02,,
02-2011,6.84,,
03-2011,6.65,,
04-2011,6.16,,
05-2011,5.98,,
06-2011,5.54,,
07-2011,4.61,,
08-2011,4.79,,
09-2011,4.61,,
10-2011,4.42,,
11-2011,4.15,,
12-2011,3.79,,
01-2012,3.65,,
02-2012,3.56,,
03-2012,3.97,,
04-2012,4.5,,
05-2012,4.45,,
06-2012,4.53,,
07-2012,4.56,,
08-2012,4.58,,
09-2012,4.31,,
10-2012,4.61,,
11-2012,4.32,,
12-2012,4.3,,
01-2013,4.57,7697.37,
02-2013,5.31,7645.05,
03-2013,5.9,7503.27,
04-2013,5.57,7290.96,
05-2013,5.47,7261.71,
06-2013,5.9,7419.63,
07-2013,8.61,7419.63,
08-2013,8.79,7553.54,
09-2013,8.4,7524.03,
10-2013,8.32,7702.25,
11-2013,8.37,7732.47,
12-2013,8.38,7871.21,
01-2014,8.22,8028.48,
02-2014,7.75,8129.02,
03-2014,7.32,8083.86,
04-2014,7.25,7830.22,
05-2014,7.32,7805.76,
06-2014,6.7,7797.08,
07-2014,4.53,7939.00,
08-2014,3.99,8009.58,
09-2014,4.53,8125.93,
10-2014,4.83,8126.34,
11-2014,6.23,8372.84,
12-2014,8.36,8992.57,
01-2015,6.96,9548.24,
02-2015,6.29,9621.70,
03-2015,6.38,9444.35,
04-2015,6.79,8958.89,
05-2015,7.15,8520.39,
06-2015,7.26,8605.95,
07-2015,7.26,8648.44,
08-2015,7.18,8741.08,
09-2015,6.83,8939.61,
10-2015,6.25,8960.96,
11-2015,4.89,9271.85,
12-2015,3.35,9450.66,
01-2016,4.14,9548.24,
02-2016,4.42,9621.70,
03-2016,4.45,9444.35,
04-2016,3.6,8958.89,
05-2016,3.33,8835.54,
06-2016,3.45,8972.68,
07-2016,3.21,8932.18,
08-2016,2.79,8900.90,
09-2016,3.07,8965.31,
10-2016,3.31,8980.85,
11-2016,3.58,9049.87,
12-2016,3.02,9069.00,
01-2017,3.49,9099.52,
02-2017,3.83,9047.57,
03-2017,3.61,8705.43,
04-2017,4.17,8653.80,
05-2017,4.33,8790.17,
06-2017,4.37,8794.48,
07-2017,3.88,8743.86,
08-2017,3.82,8823.05,
09-2017,3.72,8935.02,
10-2017,3.58,9116.50,
11-2017,3.3,9279.52,
12-2017,3.61,9526.01,
01-2018,3.25,10177.05,13050.2
02-2018,3.18,10215.16,11950.7
03-2018,3.4,9698.23,12224.5
04-2018,3.41,9220.84,13834.1
05-2018,3.23,9190.37,14801.5
06-2018,3.12,9135.41,9126.9
07-2018,3.18,9197.78,15637.1
08-2018,3.2,9172.27,13772.4
09-2018,2.88,9309.98,12319.6
10-2018,3.16,9395.39,14750.7
11-2018,3.23,9603.63,14035.1
12-2018,3.13,9798.38,13339.7
01-2019,2.82,9902.68,13348.6
02-2019,2.57,9799.57,10881.1
03-2019,2.48,9555.35,12225.8
04-2019,2.83,9144.20,13163.7
05-2019,3.32,9142.52,12424.5
06-2019,3.28,9166.40,9782.4
07-2019,3.32,9211.03,13770.4
08-2019,3.49,9224.00,12538.9
09-2019,3.39,9301.08,12671.5
10-2019,3.13,9433.88,13003.8
11-2019,3,9522.01,13206.1
12-2019,2.72,9565.59,12373.6
01-2020,2.68,9805.40,12281.6
02-2020,2.98,9844.13,9800.5
03-2020,2.96,9826.68,11745.7
04-2020,2.67,9671.03,11680.9
05-2020,2.19,9526.55,7781.1
06-2020,1.96,9445.31,10083.3
07-2020,1.54,9316.30,9506.1
08-2020,1.32,9334.90,9792.6
09-2020,1.42,9404.58,10397.1
10-2020,1.44,9462.81,9707.2
11-2020,1.59,9384.98,11579.4
12-2020,1.68,9382.69,12956.6
01-2021,1.55,9404.74,11778.1
02-2021,1.38,9386.31,11960.7
03-2021,1.37,9153.68,14508.4
04-2021,1.42,8978.86,14180.9
05-2021,1.68,8909.50,12172.9
06-2021,1.33,8906.67,14920.7
07-2021,1.52,8886.90,13469.3
08-2021,1.59,8915.75,14629.7
09-2021,1.6,8962.39,14367.3
10-2021,1.66,9010.82,14395.5
11-2021,1.75,9071.94,16303.2
12-2021,1.87,9128.44,17974.2
01-2022,2.18,9381.24,15981.9
02-2022,2.06,9358.61,13736.2
03-2022,2.64,9323.35,18470.2
04-2022,3.47,9104.35,15943.6
05-2022,3.55,9065.18,15255.6
06-2022,4.35,9007.86,17330.9
07-2022,4.94,9091.92,16889.7
08-2022,4.69,9358.34,18449.2
09-2022,5.95,9785.04,16382.2
10-2022,5.71,10043.47,15771.3
11-2022,5.42,10122.15,16157.9
12-2022,5.51,10371.11,16662.1
01-2023,5.28,10801.71,15536.8
02-2023,5.47,11300.76,13512.7
03-2023,4.97,11121.88,17573.3
04-2023,4.33,11049.87,12392.6
05-2023,4,11005.56,18144.5
06-2023,3.52,11079.92,14928.2
07-2023,3.08,11120.58,16438.2
08-2023,3.27,11474.96,16217.8
09-2023,2.28,12685.36,14013
10-2023,2.56,13011.56,15466.1
11-2023,2.86,12959.50,16097.7
